customer_id,cust_name,cust_email,phone,cust_address,region,segment
38,Richard Leblanc,carterdonald@example.com,612.642.0288x317,"531 Stanley Courts Danielside, NH 52960",Giza,Retail
39,Shane Montoya,pjackson@example.net,445.293.4585x789,"5184 Rhodes Mountains Apt. 731 East Cynthia, FL 52173",Cairo,VIP
40,Anthony Ortiz,margaretjohnson@example.net,247-641-1941x7156,"5834 Good Tunnel Byrdtown, OH 38600",Upper Egypt,Wholesale
41,Laura Porter,jessica38@example.com,(928)859-9738x705,"44487 Jessica Rest Apt. 158 Port Brandonville, AK 43257",Cairo,Retail
42,Melissa Foster,petermyers@example.com,774-660-1978,"4292 Christopher Loaf Laurenfort, PW 84110",Cairo,Retail
43,John Moreno,craig09@example.net,222.959.4882,"66509 Kristen Prairie Apt. 317 Donnaburgh, GA 72217",Alexandria,Retail
44,Scott Ray,jilliancoleman@example.net,313-995-3264,"354 Samuel Pike Phillipsview, RI 35071",Alexandria,VIP
45,Charles Maldonado,richardsoncatherine@example.net,7057743383,"22979 Herrera Forge West Ian, IN 72132",Delta,Wholesale
46,Brianna Salinas,terribrennan@example.net,988-744-2993,USNS Black FPO AP 89583,Cairo,Wholesale
47,Donna Roach,williamwhite@example.net,(809)334-7470x881,"4010 Sydney Circle New Rebecca, KY 62073",Upper Egypt,Retail
48,Veronica Mitchell,codycervantes@example.com,+1-412-298-3314x95935,"88841 Bray Motorway Aliciaport, CT 55307",Alexandria,Wholesale
49,Melissa Carr,kevin10@example.net,+1-733-778-7963,"626 Rachel Plaza Suite 793 Rodriguezfurt, SD 75470",Upper Egypt,VIP
50,Kyle Orr,umason@example.net,+1-478-608-6967x241,"434 Frazier Crest West Alyssaborough, WV 81229",Upper Egypt,Retail
